week_end_date,cbsa_code,cbsa_title,hh_rank,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
5/22/2021,35300,"new haven-milford, ct",62,8.8%,-21.5%,-35,-53.8%,18.2%,4.1%,-53.3%,-1.5%
5/22/2021,35840,"north port-sarasota-bradenton, fl",63,19.8%,-78.9%,-54,-58.1%,-9.5%,14.7%,-84.9%,-2.7%
5/22/2021,19380,"dayton, oh",64,-5.5%,-44.4%,-39,-60.9%,37.0%,12.8%,-46.5%,-1.2%
5/22/2021,46520,"urban honolulu, hi",65,7.6%,-13.5%,-24,-32.9%,13.7%,1.7%,-60.0%,-1.3%
5/22/2021,10900,"allentown-bethlehem-easton, pa-nj",66,17.0%,-42.4%,-55,-71.4%,8.2%,8.6%,-11.2%,1.4%
5/22/2021,12940,"baton rouge, la",67,19.7%,-58.6%,-33,-35.9%,-28.6%,3.9%,-65.8%,-1.2%
5/22/2021,17900,"columbia, sc",68,4.4%,-63.6%,-40,-70.2%,15.8%,15.0%,-66.5%,-1.6%
5/22/2021,24660,"greensboro-high point, nc",69,-10.5%,-58.4%,-29,-44.6%,7.0%,12.9%,-66.7%,-1.5%
5/22/2021,23420,"fresno, ca",70,13.6%,-50.1%,-35,-70.0%,13.8%,12.8%,-63.3%,-2.1%
5/22/2021,30780,"little rock-north little rock-conway, ar",71,-3.8%,-60.9%,-37,-57.8%,-9.0%,10.4%,-52.0%,0.4%
5/22/2021,16700,"charleston-north charleston, sc",72,33.3%,-72.3%,-44,-55.0%,-33.4%,10.2%,-79.5%,-2.4%
5/22/2021,10420,"akron, oh",73,7.5%,-43.6%,-29,-48.3%,46.9%,14.9%,-54.8%,-2.5%
5/22/2021,15980,"cape coral-fort myers, fl",74,12.0%,-76.7%,-54,-56.8%,5.9%,14.0%,-74.3%,-0.3%
5/22/2021,21340,"el paso, tx",75,19.3%,-46.2%,-42,-49.4%,1.3%,5.9%,-53.3%,-0.6%
5/22/2021,37100,"oxnard-thousand oaks-ventura, ca",76,7.3%,-46.4%,-29,-44.6%,42.4%,12.6%,-75.3%,-3.5%
5/22/2021,17820,"colorado springs, co",77,2.5%,-51.8%,-24,-72.7%,7.4%,14.4%,-68.1%,-4.1%
5/22/2021,31540,"madison, wi",78,1.5%,-45.8%,-34,-54.0%,42.6%,15.3%,-50.8%,-1.2%
5/22/2021,12540,"bakersfield, ca",79,14.5%,-49.4%,-30,-53.6%,3.5%,9.7%,-64.0%,-1.9%
5/22/2021,45060,"syracuse, ny",80,7.5%,-29.0%,-49,-49.5%,36.6%,8.4%,11.1%,1.6%
5/22/2021,49180,"winston-salem, nc",81,-14.6%,-57.6%,-28,-41.8%,34.4%,14.6%,-58.0%,-0.9%
5/22/2021,19660,"deltona-daytona beach-ormond beach, fl",82,19.0%,-70.3%,-47,-58.8%,-5.1%,11.9%,-77.0%,-2.0%
5/22/2021,48620,"wichita, ks",83,0.2%,-49.6%,-26,-40.6%,-6.0%,8.0%,-48.8%,-0.5%
5/22/2021,45780,"toledo, oh",84,0.6%,-46.0%,-34,-52.3%,15.2%,10.6%,-39.3%,-0.1%
5/22/2021,14260,"boise city, id",85,34.7%,-57.6%,-16,-36.4%,-4.4%,12.4%,-59.6%,-1.0%
5/22/2021,44140,"springfield, ma",86,6.1%,-43.4%,-52,-72.2%,10.6%,9.9%,-37.3%,-0.1%
5/22/2021,19780,"des moines-west des moines, ia",87,10.8%,-48.4%,-20,-30.3%,-14.6%,5.2%,-40.2%,0.9%
5/22/2021,29460,"lakeland-winter haven, fl",88,17.6%,-72.0%,-32,-44.4%,-7.1%,14.1%,-75.5%,-1.6%
5/22/2021,37340,"palm bay-melbourne-titusville, fl",89,17.1%,-71.9%,-31,-44.3%,-24.4%,10.7%,-68.5%,-0.1%
5/22/2021,32580,"mcallen-edinburg-mission, tx",90,22.2%,-51.2%,-41,-44.1%,28.9%,6.9%,-60.0%,-0.8%
5/22/2021,42540,"scranton--wilkes-barre--hazleton, pa",91,23.5%,-55.7%,-75,-68.8%,10.4%,9.1%,-30.6%,1.3%
5/22/2021,25420,"harrisburg-carlisle, pa",92,18.0%,-50.1%,-30,-44.1%,-24.6%,5.9%,16.2%,3.6%
5/22/2021,49660,"youngstown-warren-boardman, oh-pa",93,8.4%,-56.2%,-49,-53.8%,16.0%,9.9%,-48.3%,0.3%
5/22/2021,12260,"augusta-richmond county, ga-sc",94,13.7%,-51.6%,-38,-51.4%,49.6%,11.5%,-49.4%,-0.4%
5/22/2021,44700,"stockton-lodi, ca",95,12.3%,-54.9%,-29,-56.9%,5.0%,13.9%,-57.6%,-1.0%
5/22/2021,16860,"chattanooga, tn-ga",96,1.5%,-60.7%,-45,-64.3%,5.3%,11.8%,-72.2%,-2.4%
5/22/2021,38860,"portland-south portland, me",97,9.3%,-52.0%,-47,-74.6%,0.4%,10.9%,-47.4%,-0.1%
5/22/2021,20500,"durham-chapel hill, nc",98,9.3%,-66.4%,-41,-64.1%,0.7%,15.2%,-86.3%,-4.7%
5/22/2021,44060,"spokane-spokane valley, wa",99,7.7%,-54.6%,-22,-48.9%,27.6%,18.0%,-67.2%,-2.0%
5/22/2021,27140,"jackson, ms",100,1.9%,-62.0%,-48,-52.7%,-1.6%,9.5%,-76.5%,-2.6%
5/15/2021,35620,"new york-newark-jersey city, ny-nj-pa",1,10.9%,-11.1%,-17,-23.6%,45.9%,3.9%,30.0%,1.0%
5/15/2021,31080,"los angeles-long beach-anaheim, ca",2,14.6%,-29.8%,-21,-31.3%,18.5%,6.1%,-51.3%,-1.5%
5/15/2021,16980,"chicago-naperville-elgin, il-in-wi",3,9.3%,-40.9%,-29,-46.8%,14.2%,8.1%,-45.7%,-1.0%
5/15/2021,19100,"dallas-fort worth-arlington, tx",4,8.6%,-68.1%,-25,-44.6%,-15.0%,14.3%,-78.9%,-3.3%
5/15/2021,37980,"philadelphia-camden-wilmington, pa-nj-de-md",5,9.0%,-34.5%,-33,-45.2%,52.5%,9.7%,4.0%,1.8%
5/15/2021,47900,"washington-arlington-alexandria, dc-va-md-wv",6,2.0%,-27.5%,-13,-28.9%,31.4%,9.0%,-15.3%,0.2%
5/15/2021,26420,"houston-the woodlands-sugar land, tx",7,12.5%,-53.3%,-27,-42.2%,6.2%,9.0%,-62.7%,-1.8%
5/15/2021,33100,"miami-fort lauderdale-west palm beach, fl",8,7.0%,-50.5%,-39,-37.1%,10.8%,5.6%,-56.5%,-0.6%
5/15/2021,12060,"atlanta-sandy springs-roswell, ga",9,16.6%,-61.6%,-24,-42.9%,-6.7%,11.4%,-71.3%,-2.3%
5/15/2021,14460,"boston-cambridge-newton, ma-nh",10,11.1%,-27.7%,-36,-63.2%,40.1%,10.3%,-34.0%,-1.0%
5/15/2021,41860,"san francisco-oakland-hayward, ca",11,8.2%,-25.7%,-7,-19.4%,23.7%,8.3%,-33.6%,-0.8%
5/15/2021,19820,"detroit-warren-dearborn, mi",12,11.1%,-51.9%,-43,-66.2%,-6.0%,9.6%,-56.6%,-1.0%
5/15/2021,38060,"phoenix-mesa-scottsdale, az",13,19.2%,-63.9%,-22,-43.1%,10.8%,16.1%,-75.4%,-4.3%
5/15/2021,42660,"seattle-tacoma-bellevue, wa",14,10.7%,-45.8%,-5,-15.2%,22.1%,14.6%,-63.6%,-2.5%
5/15/2021,33460,"minneapolis-st. paul-bloomington, mn-wi",15,-2.7%,-44.0%,-13,-31.0%,5.5%,9.3%,-60.7%,-1.8%
5/15/2021,40140,"riverside-san bernardino-ontario, ca",16,21.5%,-58.9%,-37,-56.1%,16.1%,13.7%,-63.4%,-1.2%
5/15/2021,45300,"tampa-st. petersburg-clearwater, fl",17,20.1%,-69.4%,-33,-50.0%,-1.6%,14.9%,-78.3%,-3.5%
5/15/2021,41740,"san diego-carlsbad, ca",18,10.3%,-27.7%,-6,-13.6%,18.3%,6.9%,-63.4%,-2.9%
5/15/2021,41180,"st. louis, mo-il",19,2.2%,-42.6%,-26,-37.1%,35.7%,10.8%,-55.8%,-1.8%
5/15/2021,19740,"denver-aurora-lakewood, co",20,9.1%,-60.0%,-32,-78.0%,1.9%,16.9%,-81.2%,-6.5%
5/15/2021,12580,"baltimore-columbia-towson, md",21,2.0%,-50.7%,-22,-38.6%,13.8%,11.3%,-43.7%,0.0%
5/15/2021,38300,"pittsburgh, pa",22,20.0%,-50.6%,-48,-52.7%,-8.5%,7.4%,-16.9%,2.0%
5/15/2021,38900,"portland-vancouver-hillsboro, or-wa",23,12.3%,-51.3%,-22,-42.3%,29.3%,15.1%,-52.6%,-1.8%
5/15/2021,16740,"charlotte-concord-gastonia, nc-sc",24,11.1%,-61.3%,-29,-50.9%,-4.4%,12.3%,-69.4%,-2.4%
5/15/2021,36740,"orlando-kissimmee-sanford, fl",25,6.3%,-63.2%,-29,-43.3%,-10.5%,10.4%,-74.9%,-2.7%
5/15/2021,17460,"cleveland-elyria, oh",26,4.1%,-39.7%,-32,-47.8%,38.1%,10.8%,-50.6%,-1.7%
5/15/2021,17140,"cincinnati, oh-ky-in",27,13.3%,-47.4%,-22,-42.3%,1.0%,8.9%,-58.0%,-2.0%
5/15/2021,41700,"san antonio-new braunfels, tx",28,6.7%,-68.2%,-28,-43.8%,-16.6%,11.7%,-78.5%,-2.8%
5/15/2021,40900,"sacramento--roseville--arden-arcade, ca",29,14.9%,-54.3%,-17,-39.5%,16.1%,15.2%,-66.6%,-2.9%
5/15/2021,28140,"kansas city, mo-ks",30,-0.1%,-48.8%,-28,-42.4%,6.8%,10.1%,-64.0%,-2.4%
5/15/2021,18140,"columbus, oh",31,-7.7%,-41.5%,-39,-79.6%,35.5%,14.4%,-46.1%,-1.7%
5/15/2021,26900,"indianapolis-carmel-anderson, in",32,-9.5%,-55.5%,-20,-34.5%,26.1%,16.2%,-47.2%,-0.2%
5/15/2021,29820,"las vegas-henderson-paradise, nv",33,18.5%,-52.3%,-31,-56.4%,17.4%,9.4%,-78.2%,-4.1%
5/15/2021,12420,"austin-round rock, tx",34,32.5%,-69.8%,-29,-56.9%,20.6%,22.0%,-79.5%,-3.5%
5/15/2021,34980,"nashville-davidson--murfreesboro--franklin, tn",35,7.9%,-70.9%,-24,-64.9%,-24.6%,14.3%,-78.0%,-2.1%
5/15/2021,41940,"san jose-sunnyvale-santa clara, ca",36,8.3%,-27.2%,-9,-24.3%,46.5%,11.7%,-47.8%,-2.2%
5/15/2021,47260,"virginia beach-norfolk-newport news, va-nc",37,-1.5%,-50.5%,-35,-62.5%,11.4%,9.7%,-63.8%,-1.4%
5/15/2021,33340,"milwaukee-waukesha-west allis, wi",38,-15.4%,-47.7%,-20,-38.5%,24.2%,13.3%,-46.0%,-0.7%
5/15/2021,39300,"providence-warwick, ri-ma",39,0.0%,-51.9%,-37,-56.9%,23.0%,13.8%,-67.3%,-2.0%
5/15/2021,27260,"jacksonville, fl",40,9.7%,-70.5%,-29,-43.3%,-11.9%,12.5%,-72.6%,-1.3%
5/15/2021,36420,"oklahoma city, ok",41,9.0%,-63.7%,-7,-14.3%,-26.5%,8.7%,-65.0%,-0.9%
5/15/2021,31140,"louisville/jefferson county, ky-in",42,-6.9%,-50.1%,-33,-57.9%,18.6%,12.0%,-55.6%,-1.4%
5/15/2021,32820,"memphis, tn-ms-ar",43,-10.1%,-52.2%,-26,-43.3%,29.3%,12.8%,-64.1%,-2.1%
5/15/2021,35380,"new orleans-metairie, la",44,16.4%,-48.5%,-24,-32.9%,-1.6%,5.8%,-50.0%,-0.5%
5/15/2021,40060,"richmond, va",45,2.9%,-50.8%,-19,-33.9%,26.9%,13.1%,-71.7%,-3.4%
5/15/2021,15380,"buffalo-cheektowaga-niagara falls, ny",46,4.7%,-33.0%,-37,-55.2%,46.9%,11.9%,10.3%,1.1%
5/15/2021,25540,"hartford-west hartford-east hartford, ct",47,2.0%,-28.3%,-33,-52.4%,26.3%,5.5%,-58.1%,-1.7%
5/15/2021,39580,"raleigh, nc",48,9.3%,-76.2%,-39,-66.1%,-34.6%,14.1%,-86.0%,-3.2%
5/15/2021,13820,"birmingham-hoover, al",49,7.8%,-53.6%,-27,-42.2%,-0.8%,9.4%,-60.6%,-1.2%
5/15/2021,40380,"rochester, ny",50,-7.7%,-36.9%,-43,-75.4%,16.1%,9.6%,-53.6%,-1.2%
5/15/2021,46060,"tucson, az",51,14.5%,-61.5%,-20,-36.4%,8.6%,13.8%,-71.2%,-2.3%
5/15/2021,41620,"salt lake city, ut",52,23.1%,-61.7%,-28,-77.8%,2.1%,17.8%,-68.8%,-2.9%
5/15/2021,24340,"grand rapids-wyoming, mi",53,2.2%,-59.1%,-28,-45.2%,-9.6%,13.5%,-70.5%,-1.9%
5/15/2021,46140,"tulsa, ok",54,0.0%,-57.1%,-18,-32.1%,10.9%,11.1%,-53.0%,-0.2%
5/15/2021,10580,"albany-schenectady-troy, ny",55,7.7%,-44.1%,-36,-38.3%,23.2%,8.1%,-28.4%,0.5%
5/15/2021,10740,"albuquerque, nm",56,9.4%,-57.5%,-18,-34.0%,10.4%,13.9%,-69.6%,-2.9%
5/15/2021,49340,"worcester, ma-ct",57,1.9%,-49.1%,-40,-70.2%,30.4%,13.9%,-56.7%,-1.4%
5/15/2021,36540,"omaha-council bluffs, ne-ia",58,-4.8%,-49.4%,-13,-27.1%,-8.9%,9.1%,-53.9%,-0.8%
5/15/2021,28940,"knoxville, tn",59,11.1%,-65.8%,-29,-45.3%,-0.4%,13.8%,-52.4%,1.0%
5/15/2021,14860,"bridgeport-stamford-norwalk, ct",60,-0.1%,-26.7%,-42,-53.8%,23.3%,4.4%,-18.1%,0.2%
5/15/2021,24860,"greenville-anderson-mauldin, sc",61,5.4%,-65.5%,-27,-38.6%,-12.0%,10.7%,-72.2%,-2.0%
5/15/2021,35300,"new haven-milford, ct",62,12.5%,-23.4%,-35,-53.0%,30.5%,4.9%,-38.5%,-0.8%
5/15/2021,35840,"north port-sarasota-bradenton, fl",63,20.3%,-79.1%,-51,-56.7%,0.3%,14.7%,-82.8%,-1.8%
5/15/2021,19380,"dayton, oh",64,10.3%,-49.6%,-33,-52.4%,14.8%,11.7%,-79.1%,-5.6%
5/15/2021,46520,"urban honolulu, hi",65,6.6%,-12.1%,-21,-30.0%,30.4%,2.2%,-45.0%,-0.9%
5/15/2021,10900,"allentown-bethlehem-easton, pa-nj",66,15.2%,-39.5%,-54,-70.1%,81.3%,12.4%,7.7%,1.3%
5/15/2021,12940,"baton rouge, la",67,23.5%,-57.8%,-34,-37.0%,-25.2%,4.3%,-60.5%,-0.7%
5/15/2021,17900,"columbia, sc",68,4.4%,-65.3%,-36,-65.5%,-13.3%,11.1%,-73.5%,-1.8%
5/15/2021,24660,"greensboro-high point, nc",69,-9.6%,-59.3%,-28,-43.1%,12.3%,14.1%,-63.4%,-1.4%
5/15/2021,23420,"fresno, ca",70,16.2%,-50.8%,-36,-72.0%,43.1%,15.7%,-44.3%,-0.4%
5/15/2021,30780,"little rock-north little rock-conway, ar",71,6.6%,-62.9%,-34,-54.0%,-4.1%,11.6%,-64.1%,-0.8%
5/15/2021,16700,"charleston-north charleston, sc",72,24.4%,-73.0%,-40,-51.3%,-20.6%,11.6%,-77.9%,-2.2%
5/15/2021,10420,"akron, oh",73,7.0%,-50.3%,-33,-53.2%,23.7%,13.5%,-34.3%,0.6%
5/15/2021,15980,"cape coral-fort myers, fl",74,15.0%,-78.1%,-51,-55.4%,-21.1%,11.9%,-77.6%,-0.6%
5/15/2021,21340,"el paso, tx",75,21.3%,-47.0%,-42,-49.4%,52.6%,9.0%,-35.7%,0.3%
5/15/2021,37100,"oxnard-thousand oaks-ventura, ca",76,10.4%,-50.7%,-23,-35.9%,8.2%,10.5%,-62.8%,-1.8%
5/15/2021,17820,"colorado springs, co",77,0.4%,-54.8%,-29,-78.4%,13.7%,16.3%,-76.0%,-5.2%
5/15/2021,31540,"madison, wi",78,3.9%,-52.7%,-28,-46.7%,16.2%,14.2%,-55.1%,-1.0%
5/15/2021,12540,"bakersfield, ca",79,16.4%,-52.3%,-34,-57.6%,6.3%,10.2%,-52.1%,-0.5%
5/15/2021,45060,"syracuse, ny",80,14.6%,-30.3%,-46,-45.5%,76.5%,10.7%,-37.2%,-0.8%
5/15/2021,49180,"winston-salem, nc",81,-10.0%,-58.5%,-25,-37.3%,2.2%,10.6%,-55.2%,-0.3%
5/15/2021,19660,"deltona-daytona beach-ormond beach, fl",82,20.4%,-71.1%,-44,-56.4%,-17.6%,10.4%,-73.9%,-1.1%
5/15/2021,48620,"wichita, ks",83,2.2%,-51.8%,-27,-43.5%,13.3%,11.3%,-59.1%,-1.7%
5/15/2021,45780,"toledo, oh",84,2.9%,-48.6%,-35,-54.7%,-5.3%,8.0%,-38.8%,0.7%
5/15/2021,14260,"boise city, id",85,31.8%,-60.3%,-15,-34.9%,5.8%,15.1%,-71.7%,-3.9%
5/15/2021,44140,"springfield, ma",86,6.1%,-43.9%,-48,-67.6%,41.4%,12.9%,-53.3%,-1.7%
5/15/2021,19780,"des moines-west des moines, ia",87,9.1%,-49.6%,-20,-30.8%,-19.0%,5.0%,-54.4%,-1.4%
5/15/2021,29460,"lakeland-winter haven, fl",88,18.0%,-72.7%,-28,-39.4%,-11.7%,12.7%,-80.0%,-2.4%
5/15/2021,37340,"palm bay-melbourne-titusville, fl",89,16.2%,-70.7%,-27,-40.9%,-18.2%,12.0%,-71.2%,-0.9%
5/15/2021,32580,"mcallen-edinburg-mission, tx",90,25.0%,-53.0%,-37,-40.2%,-3.1%,5.1%,-60.7%,-0.7%
5/15/2021,42540,"scranton--wilkes-barre--hazleton, pa",91,20.6%,-56.2%,-74,-68.5%,291.7%,16.2%,175.0%,4.7%
5/15/2021,25420,"harrisburg-carlisle, pa",92,9.7%,-46.0%,-30,-42.9%,28.2%,10.9%,-3.8%,1.4%
5/15/2021,49660,"youngstown-warren-boardman, oh-pa",93,11.9%,-57.1%,-52,-55.9%,31.1%,12.5%,-32.7%,1.7%
5/15/2021,12260,"augusta-richmond county, ga-sc",94,14.6%,-55.1%,-35,-47.3%,39.0%,12.3%,-52.6%,-0.4%
5/15/2021,44700,"stockton-lodi, ca",95,14.5%,-58.3%,-23,-46.0%,16.6%,15.7%,-71.3%,-3.1%
5/15/2021,16860,"chattanooga, tn-ga",96,5.8%,-63.9%,-36,-55.4%,-12.9%,10.1%,-68.7%,-1.3%
5/15/2021,38860,"portland-south portland, me",97,7.4%,-52.7%,-50,-75.8%,17.1%,12.4%,-63.4%,-1.3%
5/15/2021,20500,"durham-chapel hill, nc",98,7.2%,-68.2%,-42,-66.7%,-24.7%,10.9%,-79.6%,-3.4%
5/15/2021,44060,"spokane-spokane valley, wa",99,5.7%,-58.8%,-17,-37.8%,0.9%,15.8%,-60.4%,-0.8%
5/15/2021,27140,"jackson, ms",100,-0.4%,-64.4%,-36,-40.9%,-31.3%,5.5%,-64.6%,-0.4%
5/8/2021,35620,"new york-newark-jersey city, ny-nj-pa",1,12.3%,-9.9%,-11,-16.2%,90.8%,5.0%,30.5%,0.8%
5/8/2021,31080,"los angeles-long beach-anaheim, ca",2,16.8%,-29.3%,-18,-27.7%,3.4%,4.5%,-56.8%,-2.0%
5/8/2021,16980,"chicago-naperville-elgin, il-in-wi",3,7.9%,-42.4%,-23,-39.0%,8.3%,7.7%,-47.1%,-0.9%
5/8/2021,19100,"dallas-fort worth-arlington, tx",4,7.5%,-68.8%,-25,-44.6%,-14.1%,14.7%,-82.6%,-3.8%
5/8/2021,37980,"philadelphia-camden-wilmington, pa-nj-de-md",5,9.0%,-34.8%,-34,-47.9%,71.5%,10.8%,-13.5%,0.7%
5/8/2021,47900,"washington-arlington-alexandria, dc-va-md-wv",6,0.0%,-29.2%,-15,-34.1%,47.7%,10.8%,-38.3%,-1.4%
5/8/2021,26420,"houston-the woodlands-sugar land, tx",7,9.4%,-54.6%,-21,-33.9%,2.0%,9.0%,-60.9%,-1.3%
5/8/2021,33100,"miami-fort lauderdale-west palm beach, fl",8,7.5%,-49.5%,-35,-34.3%,15.1%,5.5%,-56.4%,-0.7%
5/8/2021,12060,"atlanta-sandy springs-roswell, ga",9,14.5%,-63.0%,-20,-36.4%,-11.3%,11.0%,-71.7%,-2.1%
5/8/2021,14460,"boston-cambridge-newton, ma-nh",10,12.0%,-32.0%,-33,-58.9%,19.5%,8.2%,-33.1%,-0.5%
5/8/2021,41860,"san francisco-oakland-hayward, ca",11,4.3%,-23.8%,-12,-29.3%,19.7%,7.5%,-33.5%,-0.7%
5/8/2021,19820,"detroit-warren-dearborn, mi",12,12.0%,-55.8%,-44,-66.7%,-25.5%,7.6%,-37.1%,0.9%
5/8/2021,38060,"phoenix-mesa-scottsdale, az",13,18.8%,-65.8%,-20,-40.8%,2.9%,16.3%,-73.9%,-3.3%
5/8/2021,42660,"seattle-tacoma-bellevue, wa",14,12.4%,-47.5%,-9,-24.3%,18.2%,14.3%,-67.4%,-2.7%
5/8/2021,33460,"minneapolis-st. paul-bloomington, mn-wi",15,-3.6%,-45.1%,-10,-23.8%,-6.6%,8.0%,-66.1%,-2.5%
5/8/2021,40140,"riverside-san bernardino-ontario, ca",16,22.2%,-61.8%,-32,-50.0%,-7.2%,12.3%,-77.3%,-2.9%
5/8/2021,45300,"tampa-st. petersburg-clearwater, fl",17,15.5%,-71.3%,-29,-45.3%,-3.5%,15.8%,-77.6%,-2.8%
5/8/2021,41740,"san diego-carlsbad, ca",18,11.5%,-30.0%,-6,-13.3%,13.9%,7.0%,-67.3%,-3.4%
5/8/2021,41180,"st. louis, mo-il",19,0.4%,-47.0%,-18,-27.3%,9.4%,8.6%,-57.6%,-1.6%
5/8/2021,19740,"denver-aurora-lakewood, co",20,8.5%,-62.7%,-28,-66.7%,-11.1%,15.5%,-83.7%,-5.2%
5/8/2021,12580,"baltimore-columbia-towson, md",21,0.0%,-50.1%,-26,-45.6%,29.3%,12.7%,-51.7%,-1.1%
5/8/2021,38300,"pittsburgh, pa",22,20.0%,-48.4%,-51,-54.3%,107.4%,12.0%,53.0%,3.2%
5/8/2021,38900,"portland-vancouver-hillsboro, or-wa",23,12.1%,-55.3%,-18,-35.3%,21.3%,14.7%,-40.7%,0.9%
5/8/2021,16740,"charlotte-concord-gastonia, nc-sc",24,11.4%,-64.7%,-28,-50.0%,-17.8%,11.5%,-67.0%,-1.1%
5/8/2021,36740,"orlando-kissimmee-sanford, fl",25,6.3%,-63.2%,-25,-38.5%,-5.0%,11.0%,-71.7%,-2.0%
5/8/2021,17460,"cleveland-elyria, oh",26,7.1%,-44.2%,-25,-39.1%,55.1%,14.4%,-61.7%,-2.6%
5/8/2021,17140,"cincinnati, oh-ky-in",27,13.1%,-49.3%,-20,-38.5%,-5.2%,8.4%,-51.7%,-0.9%
5/8/2021,41700,"san antonio-new braunfels, tx",28,4.8%,-68.7%,-26,-41.3%,-10.1%,13.1%,-83.0%,-4.2%
5/8/2021,40900,"sacramento--roseville--arden-arcade, ca",29,17.0%,-56.2%,-16,-36.4%,4.1%,13.9%,-70.1%,-2.8%
5/8/2021,28140,"kansas city, mo-ks",30,-1.2%,-51.0%,-25,-39.1%,19.8%,12.3%,-62.5%,-2.1%
5/8/2021,18140,"columbus, oh",31,-7.7%,-45.3%,-38,-74.5%,26.8%,13.8%,-62.1%,-3.2%
5/8/2021,26900,"indianapolis-carmel-anderson, in",32,-2.5%,-60.9%,-20,-35.1%,-59.1%,0.4%,-87.5%,-7.5%
5/8/2021,29820,"las vegas-henderson-paradise, nv",33,17.0%,-52.7%,-29,-55.8%,7.7%,9.0%,-75.4%,-3.3%
5/8/2021,12420,"austin-round rock, tx",34,30.7%,-72.1%,-24,-48.0%,6.6%,21.0%,-83.6%,-4.4%
5/8/2021,34980,"nashville-davidson--murfreesboro--franklin, tn",35,8.6%,-72.4%,-23,-62.2%,-37.2%,12.8%,-79.7%,-1.9%
5/8/2021,41940,"san jose-sunnyvale-santa clara, ca",36,8.2%,-24.8%,-12,-30.8%,39.4%,10.3%,-36.5%,-1.4%
5/8/2021,47260,"virginia beach-norfolk-newport news, va-nc",37,0.0%,-52.1%,-32,-58.2%,9.4%,10.0%,-66.2%,-1.5%
5/8/2021,33340,"milwaukee-waukesha-west allis, wi",38,-16.5%,-51.8%,-15,-29.4%,17.3%,13.1%,-45.5%,-0.2%
5/8/2021,39300,"providence-warwick, ri-ma",39,0.0%,-54.5%,-34,-54.0%,25.4%,13.9%,-62.8%,-1.3%
5/8/2021,27260,"jacksonville, fl",40,10.8%,-71.5%,-26,-40.0%,-10.0%,13.1%,-75.6%,-2.0%
5/8/2021,36420,"oklahoma city, ok",41,9.2%,-65.4%,-6,-12.5%,-22.6%,10.3%,-63.0%,-0.3%
5/8/2021,31140,"louisville/jefferson county, ky-in",42,-1.8%,-52.3%,-31,-54.4%,15.3%,12.3%,-65.6%,-2.3%
5/8/2021,32820,"memphis, tn-ms-ar",43,-3.5%,-57.0%,-20,-33.9%,-11.8%,9.1%,-53.8%,-0.2%
5/8/2021,35380,"new orleans-metairie, la",44,13.5%,-49.0%,-20,-28.2%,12.1%,7.2%,-35.2%,0.9%
5/8/2021,40060,"richmond, va",45,0.9%,-53.7%,-14,-26.4%,23.0%,13.0%,-59.8%,-1.2%
5/8/2021,15380,"buffalo-cheektowaga-niagara falls, ny",46,8.7%,-35.4%,-33,-47.1%,65.1%,13.0%,-23.5%,0.0%
5/8/2021,25540,"hartford-west hartford-east hartford, ct",47,6.9%,-30.8%,-32,-51.6%,20.7%,5.2%,-53.6%,-1.4%
5/8/2021,39580,"raleigh, nc",48,10.8%,-75.3%,-37,-62.7%,-23.5%,14.8%,-85.5%,-3.0%
5/8/2021,13820,"birmingham-hoover, al",49,3.8%,-51.8%,-24,-37.5%,-2.2%,8.3%,-47.9%,-0.1%
5/8/2021,40380,"rochester, ny",50,-2.0%,-38.8%,-48,-84.2%,47.1%,13.4%,-40.0%,-0.6%
5/8/2021,46060,"tucson, az",51,13.4%,-62.3%,-18,-34.0%,7.6%,14.6%,-63.6%,-1.1%
5/8/2021,41620,"salt lake city, ut",52,23.4%,-65.8%,-28,-77.8%,-9.6%,17.1%,-78.7%,-4.2%
5/8/2021,24340,"grand rapids-wyoming, mi",53,3.2%,-62.0%,-24,-40.7%,-13.4%,13.3%,-63.3%,-0.8%
5/8/2021,46140,"tulsa, ok",54,5.7%,-59.7%,-15,-27.3%,-3.2%,10.9%,-61.4%,-0.9%
5/8/2021,10580,"albany-schenectady-troy, ny",55,10.8%,-46.7%,-27,-29.0%,15.3%,7.0%,-18.8%,1.1%
5/8/2021,10740,"albuquerque, nm",56,11.7%,-58.9%,-16,-30.2%,4.5%,12.6%,-66.0%,-2.3%
5/8/2021,49340,"worcester, ma-ct",57,1.5%,-54.6%,-34,-60.7%,-2.6%,10.8%,-61.4%,-1.4%
5/8/2021,36540,"omaha-council bluffs, ne-ia",58,-4.8%,-52.6%,-11,-22.4%,-8.8%,10.0%,-62.9%,-1.3%
5/8/2021,28940,"knoxville, tn",59,6.3%,-68.7%,-25,-40.3%,-27.9%,10.4%,-69.4%,-0.9%
5/8/2021,14860,"bridgeport-stamford-norwalk, ct",60,-0.1%,-28.4%,-42,-54.5%,51.7%,5.8%,-42.0%,-0.8%
5/8/2021,24860,"greenville-anderson-mauldin, sc",61,6.9%,-66.4%,-18,-27.3%,-19.7%,9.4%,-72.6%,-1.5%
5/8/2021,35300,"new haven-milford, ct",62,10.7%,-27.0%,-34,-53.1%,51.6%,6.0%,-57.4%,-1.4%
5/8/2021,35840,"north port-sarasota-bradenton, fl",63,17.1%,-79.0%,-45,-51.7%,-17.2%,13.7%,-77.4%,-0.4%
